[2025-04-29 02:29:28] pid990256 Launching 100 linear-η tasks with 32 workers �Traceback (most recent call last):
  File "/home/connorb/SF-Nonconvex/run_pep_experiments.py", line 213, in <module>
    main()
  File "/home/connorb/SF-Nonconvex/run_pep_experiments.py", line 202, in main
    results["lin_grad"][idx] = tau
KeyError: 'lin_grad'
1 finished
[2025-04-29 02:29:30] pid990256   6/100  n=3 finished
[2025-04-29 02:44:35] pid990256  59/100  n=58 finished
[2025-04-29 02:46:29] pid990256  60/100  n=63 finished
[2025-04-29 02:47:27] pid990256  61/100  n=60 finished
[2025-04-29 02:48:29] pid990256  62/100  n=62 finished
[2025-04-29 02:49:44] pid990256  63/100  n=61 finished
[2025-04-29 02:54:49] pid990256  64/100  n=66 finished
[2025-04-29 02:54:53] pid990256  65/100  n=67 finished
[2025-04-29 02:54:53] pid990256  66/100  n=64 finished
[2025-04-29 02:58:15] pid990256  67/100  n=65 finished
[2025-04-29 03:00:23] pid990256  68/100  n=68 finished
[2025-04-29 03:04:55] pid990256  69/100  n=70 finished
[2025-04-29 03:05:58] pid990256  70/100  n=69 finished
[2025-04-29 03:07:00] pid990256  71/100  n=73 finished
[2025-04-29 03:08:00] pid990256  72/100  n=71 finished
[2025-04-29 03:09:21] pid990256  73/100  n=72 finished
[2025-04-29 03:14:15] pid990256  74/100  n=75 finished
[2025-04-29 03:16:33] pid990256  75/100  n=76 finished
[2025-04-29 03:23:46] pid990256  76/100  n=74 finished
[2025-04-29 03:23:57] pid990256  77/100  n=80 finished
[2025-04-29 03:24:30] pid990256  78/100  n=78 finished
[2025-04-29 03:25:01] pid990256  79/100  n=79 finished
[2025-04-29 03:30:52] pid990256  80/100  n=77 finished
[2025-04-29 03:41:16] pid990256  81/100  n=81 finished
[2025-04-29 03:42:58] pid990256  82/100  n=82 finished
[2025-04-29 03:48:53] pid990256  83/100  n=87 finished
[2025-04-29 03:51:59] pid990256  84/100  n=89 finished
[2025-04-29 03:52:56] pid990256  85/100  n=86 finished
[2025-04-29 03:54:44] pid990256  86/100  n=83 finished
[2025-04-29 03:55:14] pid990256  87/100  n=84 finished
[2025-04-29 03:59:46] pid990256  88/100  n=85 finished
[2025-04-29 04:02:26] pid990256  89/100  n=88 finished
[2025-04-29 04:04:40] pid990256  90/100  n=92 finished
[2025-04-29 04:07:52] pid990256  91/100  n=91 finished
[2025-04-29 04:08:30] pid990256  92/100  n=90 finished
[2025-04-29 04:17:22] pid990256  93/100  n=93 finished
[2025-04-29 04:19:24] pid990256  94/100  n=94 finished
[2025-04-29 04:21:04] pid990256  95/100  n=96 finished
[2025-04-29 04:22:47] pid990256  96/100  n=95 finished
[2025-04-29 04:23:55] pid990256  97/100  n=97 finished
[2025-04-29 04:25:51] pid990256  98/100  n=98 finished
[2025-04-29 04:32:17] pid990256  99/100  n=100 finished
[2025-04-29 04:32:36] pid990256 100/100  n=99 finished
[2025-04-29 04:32:53] pid990256 All tasks done – results saved to pep_results_lin_grad.pkl
